Forecast Day,Quantile,Hidden,Hospital,Fatality,Mild,Cases
Mar-26,0.05,2007,339,5,1539,2136
Mar-26,0.5,2229,369,11,1612,2156
Mar-26,0.95,2410,400,19,1662,2175
Mar-27,0.05,2239,419,9,1874,2625
Mar-27,0.5,2492,459,16,1985,2687
Mar-27,0.95,2718,496,25,2064,2749
Mar-28,0.05,2473,509,15,2227,3212
Mar-28,0.5,2743,560,23,2376,3321
Mar-28,0.95,3029,603,34,2494,3435
Mar-29,0.05,2654,609,24,2554,3830
Mar-29,0.5,3039,667,34,2756,4014
Mar-29,0.95,3368,720,46,2914,4186
Mar-30,0.05,2938,713,37,2927,4530
Mar-30,0.5,3373,785,50,3183,4784
Mar-30,0.95,3768,847,62,3394,5013
Mar-31,0.05,3242,819,54,3315,5306
Mar-31,0.5,3783,907,69,3618,5631
Mar-31,0.95,4222,982,83,3877,5944
Apr-1,0.05,3586,933,77,3733,6150
Apr-1,0.5,4254,1036,94,4096,6568
Apr-1,0.95,4729,1126,109,4446,7009
Apr-2,0.05,3967,1054,105,4136,7042
Apr-2,0.5,4819,1174,123,4606,7623
Apr-2,0.95,5397,1290,142,5032,8178
Apr-3,0.05,4518,1184,135,4581,8033
Apr-3,0.5,5446,1327,158,5173,8806
Apr-3,0.95,6124,1454,178,5670,9469
Apr-4,0.05,5104,1307,171,5051,9133
Apr-4,0.5,6221,1492,199,5789,10142
Apr-4,0.95,7075,1651,223,6400,10951
Apr-5,0.05,5788,1455,216,5632,10388
Apr-5,0.5,7081,1669,245,6500,11655
Apr-5,0.95,8127,1864,268,7206,12701
Apr-6,0.05,6642,1624,264,6266,11835
Apr-6,0.5,8086,1879,296,7343,13382
Apr-6,0.95,9385,2114,326,8139,14524
Apr-7,0.05,7241,1804,316,6984,13513
Apr-7,0.5,8937,2121,353,8290,15392
Apr-7,0.95,10338,2394,389,9250,16779
Apr-8,0.05,7501,2020,377,7846,15295
Apr-8,0.5,9321,2399,415,9377,17694
Apr-8,0.95,10931,2684,459,10516,19290
Apr-9,0.05,7562,2254,442,8754,17376
Apr-9,0.5,9371,2707,488,10588,20208
Apr-9,0.95,11010,3026,539,11981,22183
Apr-10,0.05,7371,2488,510,9675,19483
Apr-10,0.5,9211,3013,567,11745,22836
Apr-10,0.95,10681,3421,627,13444,25317
Apr-11,0.05,7128,2720,585,10539,21594
Apr-11,0.5,8955,3297,658,12858,25498
Apr-11,0.95,10489,3790,729,14718,28631
Apr-12,0.05,6797,2932,672,11235,23700
Apr-12,0.5,8589,3559,756,13744,28032
Apr-12,0.95,10139,4085,841,15842,31652
Apr-13,0.05,6505,3094,771,11654,25711
Apr-13,0.5,8285,3785,872,14418,30559
Apr-13,0.95,9822,4360,969,16755,34307
Apr-14,0.05,6298,3226,881,12063,27714
Apr-14,0.5,8033,3956,997,14945,33008
Apr-14,0.95,9432,4574,1102,17286,37068
Apr-15,0.05,6026,3316,995,12279,29544
Apr-15,0.5,7752,4103,1134,15273,35264
Apr-15,0.95,9161,4770,1266,17704,39813
Apr-16,0.05,5818,3384,1115,12438,31335
Apr-16,0.5,7423,4209,1282,15466,37493
Apr-16,0.95,8861,4884,1427,17970,42448
Apr-17,0.05,5655,3401,1246,12401,33035
Apr-17,0.5,7192,4259,1445,15551,39726
Apr-17,0.95,8562,4965,1622,18074,44982
Apr-18,0.05,5492,3427,1391,12258,34706
Apr-18,0.5,6962,4283,1608,15459,41920
Apr-18,0.95,8304,5015,1806,18110,47446
Apr-19,0.05,5254,3391,1517,12030,36318
Apr-19,0.5,6744,4251,1778,15277,43963
Apr-19,0.95,8049,5003,2008,18000,49829
Apr-20,0.05,5060,3328,1656,11842,37831
Apr-20,0.5,6541,4214,1954,14991,45924
Apr-20,0.95,7851,4970,2207,17694,52085
Apr-21,0.05,4909,3263,1794,11512,39434
