Forecast Day,Quantile,Hidden,Hospital,Fatality,Mild,Cases
Mar-26,0.05,2019,337,4,1545,2139
Mar-26,0.5,2231,370,10,1615,2147
Mar-26,0.95,2429,403,19,1659,2163
Mar-27,0.05,2275,421,8,1883,2626
Mar-27,0.5,2498,458,14,1984,2684
Mar-27,0.95,2742,499,23,2068,2746
Mar-28,0.05,2470,522,13,2232,3205
Mar-28,0.5,2766,562,20,2373,3317
Mar-28,0.95,3027,602,31,2491,3432
Mar-29,0.05,2730,622,21,2575,3844
Mar-29,0.5,3036,672,30,2761,4020
Mar-29,0.95,3378,721,42,2923,4198
Mar-30,0.05,3003,725,32,2954,4528
Mar-30,0.5,3378,790,43,3189,4794
Mar-30,0.95,3790,847,56,3410,5048
Mar-31,0.05,3341,835,46,3335,5323
Mar-31,0.5,3776,918,60,3636,5636
Mar-31,0.95,4302,991,76,3916,5965
Apr-1,0.05,3697,945,69,3750,6162
Apr-1,0.5,4257,1048,83,4114,6582
Apr-1,0.95,4865,1141,99,4450,7028
Apr-2,0.05,4158,1077,92,4204,7096
Apr-2,0.5,4799,1190,111,4619,7647
Apr-2,0.95,5525,1300,130,5067,8215
Apr-3,0.05,4689,1209,124,4692,8173
Apr-3,0.5,5422,1342,144,5183,8826
Apr-3,0.95,6251,1486,167,5714,9508
Apr-4,0.05,5305,1335,161,5246,9352
Apr-4,0.5,6195,1506,183,5784,10136
Apr-4,0.95,7171,1680,208,6432,11073
Apr-5,0.05,5988,1498,203,5762,10639
Apr-5,0.5,7054,1692,230,6493,11621
Apr-5,0.95,8199,1891,257,7277,12813
Apr-6,0.05,6849,1684,248,6450,12091
Apr-6,0.5,8101,1901,279,7301,13348
Apr-6,0.95,9483,2163,310,8273,14746
Apr-7,0.05,7479,1884,300,7199,13790
Apr-7,0.5,8866,2139,333,8245,15305
Apr-7,0.95,10472,2459,369,9453,17113
Apr-8,0.05,7834,2127,354,8076,15769
Apr-8,0.5,9287,2417,394,9321,17571
Apr-8,0.95,10936,2769,437,10698,19621
Apr-9,0.05,7806,2355,415,9058,18016
Apr-9,0.5,9391,2730,465,10528,20038
Apr-9,0.95,10989,3123,516,12123,22566
Apr-10,0.05,7530,2616,485,10083,20074
Apr-10,0.5,9198,3041,541,11750,22715
Apr-10,0.95,10760,3505,600,13605,25608
Apr-11,0.05,7296,2869,562,10904,22313
Apr-11,0.5,8928,3340,627,12797,25336
Apr-11,0.95,10561,3871,701,14906,28806
Apr-12,0.05,7035,3083,648,11603,24448
