Date,County,Total,Serious(Hospitalized),Dead
01.02.2020,Suffolk,1,,0
02.02.2020,Suffolk,1,,0
03.02.2020,Suffolk,1,,0
04.02.2020,Suffolk,1,,0
05.02.2020,Suffolk,1,,0
06.02.2020,Suffolk,1,,0
07.02.2020,Suffolk,1,,0
08.02.2020,Suffolk,1,,0
09.02.2020,Suffolk,1,,0
10.02.2020,Suffolk,1,,0
11.02.2020,Suffolk,1,,0
12.02.2020,Suffolk,1,,0
13.02.2020,Suffolk,1,,0
14.02.2020,Suffolk,1,,0
15.02.2020,Suffolk,1,,0
16.02.2020,Suffolk,1,,0
17.02.2020,Suffolk,1,,0
18.02.2020,Suffolk,1,,0
19.02.2020,Suffolk,1,,0
20.02.2020,Suffolk,1,,0
21.02.2020,Suffolk,1,,0
22.02.2020,Suffolk,1,,0
23.02.2020,Suffolk,1,,0
24.02.2020,Suffolk,1,,0
25.02.2020,Suffolk,1,,0
26.02.2020,Suffolk,1,,0
27.02.2020,Suffolk,1,,0
28.02.2020,Suffolk,1,,0
29.02.2020,Suffolk,1,,0
01.03.2020,Suffolk,1,,0
02.03.2020,Norfolk,1,,0
02.03.2020,Suffolk,1,,0
03.03.2020,Norfolk,1,,0
03.03.2020,Suffolk,1,,0
04.03.2020,Norfolk,1,,0
04.03.2020,Suffolk,1,,0
05.03.2020,Middlesex,1,,0
05.03.2020,Norfolk,1,,0
05.03.2020,Suffolk,1,,0
06.03.2020,Middlesex,1,,0
06.03.2020,Norfolk,3,,0
06.03.2020,Suffolk,4,,0
07.03.2020,Berkshire,1,,0
07.03.2020,Middlesex,5,,0
07.03.2020,Norfolk,3,,0
07.03.2020,Suffolk,4,,0
08.03.2020,Berkshire,1,,0
08.03.2020,Middlesex,10,,0
08.03.2020,Norfolk,7,,0
08.03.2020,Suffolk,9,,0
08.03.2020,Worcester,1,,0
09.03.2020,Berkshire,5,,0
09.03.2020,Middlesex,15,,0
09.03.2020,Norfolk,10,,0
09.03.2020,Suffolk,10,,0
09.03.2020,Worcester,1,,0
10.03.2020,Berkshire,7,,0
10.03.2020,Essex,1,,0
10.03.2020,Middlesex,41,,0
10.03.2020,Norfolk,22,,0
10.03.2020,Suffolk,20,,0
10.03.2020,Worcester,1,,0
11.03.2020,Berkshire,9,,0
11.03.2020,Essex,1,,0
11.03.2020,Middlesex,41,,0
11.03.2020,Norfolk,22,,0
11.03.2020,Suffolk,20,,0
11.03.2020,Worcester,2,,0
12.03.2020,Berkshire,9,,0
12.03.2020,Essex,2,,0
12.03.2020,Middlesex,49,,0
12.03.2020,Norfolk,24,,0
