forecast_date,target,target_end_date,location,location_name,type,quantile,value
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,point,NA,83
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.010,46
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.025,50
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.050,56
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.100,63
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.150,67
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.200,70
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.250,73
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.300,76
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.350,78
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.400,80
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.450,81
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.500,83
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.550,85
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.600,87
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.650,89
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.700,91
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.750,93
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.800,96
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.850,98
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.900,105
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.950,114
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.975,122
2020-05-17,1 day ahead inc death,2020-05-18,25,Massachusetts,quantile,0.990,127
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,point,NA,5825
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.010,5692
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.025,5705
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.050,5727
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.100,5758
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.150,5772
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.200,5786
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.250,5793
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.300,5799
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.350,5806
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.400,5812
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.450,5819
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.500,5825
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.550,5831
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.600,5837
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.650,5843
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.700,5849
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.750,5856
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.800,5869
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.850,5881
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.900,5899
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.950,5928
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.975,5942
2020-05-17,1 day ahead cum death,2020-05-18,25,Massachusetts,quantile,0.990,5950
2020-05-17,2 day ahead inc death,2020-05-19,25,Massachusetts,point,NA,82
2020-05-17,2 day ahead inc death,2020-05-19,25,Massachusetts,quantile,0.010,53
2020-05-17,2 day ahead inc death,2020-05-19,25,Massachusetts,quantile,0.025,55
2020-05-17,2 day ahead inc death,2020-05-19,25,Massachusetts,quantile,0.050,58
2020-05-17,2 day ahead inc death,2020-05-19,25,Massachusetts,quantile,0.100,62
2020-05-17,2 day ahead inc death,2020-05-19,25,Massachusetts,quantile,0.150,65
2020-05-17,2 day ahead inc death,2020-05-19,25,Massachusetts,quantile,0.200,69
2020-05-17,2 day ahead inc death,2020-05-19,25,Massachusetts,quantile,0.250,71
2020-05-17,2 day ahead inc death,2020-05-19,25,Massachusetts,quantile,0.300,74
