Forecast Period,Location,Type,Quantile,Inc Death
May-9,25,point,NA,107
May-9,25,quantile,0.01,68
May-9,25,quantile,0.025,70
May-9,25,quantile,0.05,74
May-9,25,quantile,0.1,79
May-9,25,quantile,0.15,83
May-9,25,quantile,0.2,87
May-9,25,quantile,0.25,93
May-9,25,quantile,0.3,98
May-9,25,quantile,0.35,101
May-9,25,quantile,0.4,103
May-9,25,quantile,0.45,105
May-9,25,quantile,0.5,107
May-9,25,quantile,0.55,109
May-9,25,quantile,0.6,111
May-9,25,quantile,0.65,113
May-9,25,quantile,0.7,115
May-9,25,quantile,0.75,117
May-9,25,quantile,0.8,119
May-9,25,quantile,0.85,121
May-9,25,quantile,0.9,125
May-9,25,quantile,0.95,130
May-9,25,quantile,0.975,135
May-9,25,quantile,0.99,140
May-10 - May-16,25,point,NA,653
May-10 - May-16,25,quantile,0.01,477
May-10 - May-16,25,quantile,0.025,500
May-10 - May-16,25,quantile,0.05,539
May-10 - May-16,25,quantile,0.1,574
May-10 - May-16,25,quantile,0.15,587
May-10 - May-16,25,quantile,0.2,600
May-10 - May-16,25,quantile,0.25,613
May-10 - May-16,25,quantile,0.3,622
May-10 - May-16,25,quantile,0.35,630
May-10 - May-16,25,quantile,0.4,638
May-10 - May-16,25,quantile,0.45,646
May-10 - May-16,25,quantile,0.5,653
May-10 - May-16,25,quantile,0.55,661
May-10 - May-16,25,quantile,0.6,669
May-10 - May-16,25,quantile,0.65,689
May-10 - May-16,25,quantile,0.7,708
May-10 - May-16,25,quantile,0.75,726
May-10 - May-16,25,quantile,0.8,742
May-10 - May-16,25,quantile,0.85,757
May-10 - May-16,25,quantile,0.9,773
May-10 - May-16,25,quantile,0.95,812
May-10 - May-16,25,quantile,0.975,838
May-10 - May-16,25,quantile,0.99,861
May-17 - May-23,25,point,NA,544
May-17 - May-23,25,quantile,0.01,378
May-17 - May-23,25,quantile,0.025,400
May-17 - May-23,25,quantile,0.05,424
May-17 - May-23,25,quantile,0.1,460
May-17 - May-23,25,quantile,0.15,484
May-17 - May-23,25,quantile,0.2,508
May-17 - May-23,25,quantile,0.25,514
May-17 - May-23,25,quantile,0.3,520
May-17 - May-23,25,quantile,0.35,526
May-17 - May-23,25,quantile,0.4,532
May-17 - May-23,25,quantile,0.45,538
May-17 - May-23,25,quantile,0.5,544
May-17 - May-23,25,quantile,0.55,550
May-17 - May-23,25,quantile,0.6,556
May-17 - May-23,25,quantile,0.65,580
May-17 - May-23,25,quantile,0.7,604
May-17 - May-23,25,quantile,0.75,616
May-17 - May-23,25,quantile,0.8,628
May-17 - May-23,25,quantile,0.85,640
May-17 - May-23,25,quantile,0.9,652
May-17 - May-23,25,quantile,0.95,688
May-17 - May-23,25,quantile,0.975,712
May-17 - May-23,25,quantile,0.99,734
May-24 - May-30,25,point,NA,470
May-24 - May-30,25,quantile,0.01,325
May-24 - May-30,25,quantile,0.025,344
May-24 - May-30,25,quantile,0.05,359
May-24 - May-30,25,quantile,0.1,372
May-24 - May-30,25,quantile,0.15,385
May-24 - May-30,25,quantile,0.2,398
May-24 - May-30,25,quantile,0.25,411
May-24 - May-30,25,quantile,0.3,424
May-24 - May-30,25,quantile,0.35,437
May-24 - May-30,25,quantile,0.4,448
May-24 - May-30,25,quantile,0.45,459
May-24 - May-30,25,quantile,0.5,470
May-24 - May-30,25,quantile,0.55,480
May-24 - May-30,25,quantile,0.6,490
May-24 - May-30,25,quantile,0.65,499
May-24 - May-30,25,quantile,0.7,509
May-24 - May-30,25,quantile,0.75,518
May-24 - May-30,25,quantile,0.8,527
May-24 - May-30,25,quantile,0.85,543
May-24 - May-30,25,quantile,0.9,559
May-24 - May-30,25,quantile,0.95,591
May-24 - May-30,25,quantile,0.975,624
May-24 - May-30,25,quantile,0.99,643
May-31 - Jun-6,25,point,NA,399
May-31 - Jun-6,25,quantile,0.01,266
May-31 - Jun-6,25,quantile,0.025,269
May-31 - Jun-6,25,quantile,0.05,276
May-31 - Jun-6,25,quantile,0.1,288
May-31 - Jun-6,25,quantile,0.15,305
May-31 - Jun-6,25,quantile,0.2,331
May-31 - Jun-6,25,quantile,0.25,338
May-31 - Jun-6,25,quantile,0.3,346
May-31 - Jun-6,25,quantile,0.35,353
May-31 - Jun-6,25,quantile,0.4,360
May-31 - Jun-6,25,quantile,0.45,374
May-31 - Jun-6,25,quantile,0.5,399
May-31 - Jun-6,25,quantile,0.55,404
May-31 - Jun-6,25,quantile,0.6,409
May-31 - Jun-6,25,quantile,0.65,414
May-31 - Jun-6,25,quantile,0.7,419
May-31 - Jun-6,25,quantile,0.75,424
May-31 - Jun-6,25,quantile,0.8,430
May-31 - Jun-6,25,quantile,0.85,441
May-31 - Jun-6,25,quantile,0.9,467
May-31 - Jun-6,25,quantile,0.95,492
May-31 - Jun-6,25,quantile,0.975,509
May-31 - Jun-6,25,quantile,0.99,525
Jun-7 - Jun-13,25,point,NA,307
Jun-7 - Jun-13,25,quantile,0.01,199
Jun-7 - Jun-13,25,quantile,0.025,207
Jun-7 - Jun-13,25,quantile,0.05,220
Jun-7 - Jun-13,25,quantile,0.1,236
Jun-7 - Jun-13,25,quantile,0.15,249
Jun-7 - Jun-13,25,quantile,0.2,262
Jun-7 - Jun-13,25,quantile,0.25,268
Jun-7 - Jun-13,25,quantile,0.3,275
Jun-7 - Jun-13,25,quantile,0.35,281
Jun-7 - Jun-13,25,quantile,0.4,288
Jun-7 - Jun-13,25,quantile,0.45,294
Jun-7 - Jun-13,25,quantile,0.5,307
Jun-7 - Jun-13,25,quantile,0.55,324
Jun-7 - Jun-13,25,quantile,0.6,335
Jun-7 - Jun-13,25,quantile,0.65,342
Jun-7 - Jun-13,25,quantile,0.7,349
Jun-7 - Jun-13,25,quantile,0.75,357
Jun-7 - Jun-13,25,quantile,0.8,364
Jun-7 - Jun-13,25,quantile,0.85,377
Jun-7 - Jun-13,25,quantile,0.9,390
Jun-7 - Jun-13,25,quantile,0.95,415
Jun-7 - Jun-13,25,quantile,0.975,440
Jun-7 - Jun-13,25,quantile,0.99,456
Jun-14 - Jun-20,25,point,NA,260
Jun-14 - Jun-20,25,quantile,0.01,172
Jun-14 - Jun-20,25,quantile,0.025,178
Jun-14 - Jun-20,25,quantile,0.05,189
Jun-14 - Jun-20,25,quantile,0.1,202
Jun-14 - Jun-20,25,quantile,0.15,210
Jun-14 - Jun-20,25,quantile,0.2,218
Jun-14 - Jun-20,25,quantile,0.25,226
Jun-14 - Jun-20,25,quantile,0.3,233
Jun-14 - Jun-20,25,quantile,0.35,240
Jun-14 - Jun-20,25,quantile,0.4,247
Jun-14 - Jun-20,25,quantile,0.45,254
Jun-14 - Jun-20,25,quantile,0.5,260
Jun-14 - Jun-20,25,quantile,0.55,266
Jun-14 - Jun-20,25,quantile,0.6,272
Jun-14 - Jun-20,25,quantile,0.65,278
Jun-14 - Jun-20,25,quantile,0.7,286
Jun-14 - Jun-20,25,quantile,0.75,294
Jun-14 - Jun-20,25,quantile,0.8,302
Jun-14 - Jun-20,25,quantile,0.85,315
Jun-14 - Jun-20,25,quantile,0.9,336
Jun-14 - Jun-20,25,quantile,0.95,357
Jun-14 - Jun-20,25,quantile,0.975,371
